Batsman,Strike_Rate
AC Gilchrist,140.28
Azhar Mahmood,135.32
M Vohra,128.27
Mandeep Singh,128.66
DA Miller,138.19
RG Sharma,134.37
N Wadhera,146.64
C Green,149.21
SA Yadav,152.67
Tilak Varma,143.32
Vishnu Vinod,142.69
TH David,162.52
CJ Jordan,132.69
PP Chawla,123.52
K Kartikeya,90.0
JP Behrendorff,102.02
Q de Kock,137.67
Ishan Kishan,132.19
SS Tiwary,122.17
KH Pandya,131.56
HH Pandya,139.2
KA Pollard,150.98
G Gambhir,120.58
C de Grandhomme,155.62
RV Uthappa,133.08
MK Pandey,123.25
YK Pathan,139.34
CR Woakes,130.29
SP Narine,149.24
PA Patel,123.84
JC Buttler,144.82
N Rana,135.49
Washington Sundar,120.17
V Kohli,134.44
RM Patidar,153.35
GJ Maxwell,153.48
AB de Villiers,150.13
Shahbaz Ahmed,129.34
DT Christian,137.73
KA Jamieson,132.58
HV Patel,142.79
Mohammed Siraj,87.42
DR Smith,127.42
BB McCullum,136.49
SK Raina,137.45
F du Plessis,134.69
MS Dhoni,135.64
MS Bisla,110.7
DPMD Jayawardene,132.02
KC Sangakkara,126.42
Yuvraj Singh,128.76
Shahid Afridi,153.91
HH Gibbs,123.14
SB Styris,134.58
Y Venugopal Rao,121.71
DB Ravi Teja,108.59
RP Singh,72.97
PP Ojha,69.44
PM Sarvesh Kumar,50.0
DP Vijaykumar,120.0
DM Bravo,116.39
SV Samson,134.68
KK Nair,132.41
JP Duminy,122.66
RR Pant,145.7
CH Morris,150.04
P Negi,122.22
NJ Maddinson,123.11
S Dhawan,125.34
SR Tendulkar,121.08
R Sathish,128.92
DJ Bravo,125.46
R McLaren,116.5
MK Tiwary,116.43
SS Iyer,131.3
KM Jadhav,129.53
AD Mathews,121.79
JA Morkel,138.59
UBT Chand,114.87
DA Warner,140.1
LRPL Taylor,130.89
NV Ojha,118.78
AD Russell,169.82
IK Pathan,124.07
UT Yadav,120.65
BJ Hodge,131.28
SC Ganguly,107.0
WP Saha,127.95
OA Shah,125.03
LR Shukla,120.63
RS Gavaskar,99.12
SE Bond,103.22
M Kartik,110.34
I Sharma,77.9
SP Goswami,115.55
KS Williamson,122.66
PK Garg,114.52
JO Holder,128.62
YV Takawale,105.4
AM Rahane,121.67
ST Jayasuriya,140.08
AM Nayar,123.77
Harbhajan Singh,128.35
DS Kulkarni,100.0
C Nanda,100.0
SL Malinga,102.89
V Sehwag,147.83
GJ Bailey,131.47
BR Dunk,129.63
CJ Anderson,134.18
AT Rayudu,124.24
AP Tare,131.86
CM Gautam,108.95
Z Khan,86.42
LS Livingstone,144.45
SPD Smith,127.76
AJ Turner,140.57
S Badrinath,112.74
RA Jadeja,130.22
KMDN Kulasekara,120.06
R Ashwin,119.88
YBK Jaiswal,148.86
D Padikkal,131.98
SO Hetmyer,134.25
R Parag,143.65
KL Rahul,135.85
CH Gayle,144.75
MA Agarwal,133.46
AJ Finch,138.16
AR Patel,134.36
AJ Tye,128.84
BB Sran,132.5
MM Sharma,97.1
AA Bilakhia,107.71
TL Suman,125.69
A Symonds,147.35
CA Lynn,142.42
SR Watson,138.3
BA Stokes,133.23
RD Gaikwad,139.18
DP Conway,128.58
S Dube,142.55
P Kumar,115.65
JH Kallis,112.45
KP Pietersen,136.89
R Dravid,113.87
R Bishnoi,137.48
R Vinay Kumar,125.69
DW Steyn,107.56
A Kumble,77.96
Shakib Al Hasan,124.84
JD Ryder,145.25
GC Smith,123.08
AA Jhunjhunwala,103.96
M Manhas,104.55
SB Wagh,98.19
R Sharma,98.49
RA Tripathi,134.65
RR Rossouw,143.86
MA Starc,94.29
VR Aaron,72.28
AB Dinda,77.46
KS Bharat,110.85
JM Bairstow,137.85
V Shankar,128.52
Mohammad Nabi,136.64
Abdul Samad,146.33
Rashid Khan,144.7
Sandeep Sharma,85.24
B Kumar,92.15
D Brevis,140.14
Naman Dhir,167.28
R Shepherd,151.94
JR Philippe,133.67
Navdeep Saini,81.81
YS Chahal,53.02
TM Dilshan,122.82
A Mishra,96.88
MF Maharoof,117.91
VY Mahesh,105.49
PJ Sangwan,108.26
Shubman Gill,137.18
B Sai Sudharsan,130.69
R Tewatia,143.04
M Vijay,122.19
SE Marsh,128.53
R Dhawan,122.11
MG Johnson,105.26
Anureet Singh,108.88
SM Curran,132.29
DJ Hussey,133.2
ML Hayden,136.91
A Flintoff,142.88
JDP Oram,126.1
Joginder Sharma,126.11
T Thushara,111.48
Gurkeerat Singh,123.66
PR Shah,110.55
RR Raje,96.42
JEC Franklin,124.73
IR Jaggi,121.95
B Chipli,117.35
KD Karthik,136.96
JP Faulkner,125.03
MJ Lumb,137.91
FY Fazal,106.17
AC Voges,126.88
AS Raut,111.6
AP Dole,154.54
LMP Simmons,119.19
MEK Hussey,124.9
Dhruv Jurel,137.61
Rahmanullah Gurbaz,148.62
N Jagadeesan,118.78
VR Iyer,139.15
RK Singh,148.13
SN Thakur,130.05
Karanveer Singh,66.66
PP Shaw,151.2
MP Stoinis,138.12
Lalit Yadav,135.13
PC Valthaty,126.5
Bipul Sharma,138.59
RJ Harris,103.46
BR Sharath,117.43
DG Nalkande,99.3
SH Johnson,92.3
Noor Ahmad,105.51
LJ Wright,142.81
EJG Morgan,131.59
STR Binny,126.13
DR Sams,150.35
K Rabada,106.17
LA Carseldine,125.21
LPC Silva,122.57
H Das,96.84
DNT Zoysa,118.02
KV Sharma,126.28
AB Barath,106.5
RS Sodhi,81.81
RN ten Doeschate,133.56
MM Ali,140.42
